image_path,class_name,label,source,generator
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00000.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00001.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00002.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00003.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00004.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00005.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00006.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00007.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00008.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00009.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00010.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00011.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00012.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00013.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00014.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00015.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00016.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00017.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00018.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00019.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00020.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00021.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00022.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00023.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00024.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00025.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00026.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00027.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00028.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00029.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00030.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00031.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00032.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00033.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00034.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00035.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00036.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00037.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00038.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00039.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00040.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00041.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00042.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00043.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00044.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00045.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00046.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00047.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00048.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00049.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00050.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00051.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00052.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00053.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00054.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00055.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00056.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00057.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00058.png,COVID,0,stage1_synthesis,DCGAN
data/processed/synthetic_dcgan/COVID/images/dcgan_COVID_00059.png,COVID,0,stage1_synthesis,DCGAN
